GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
apimonitorapp,com.paysafe,Application,16,3,0,0,4,1,3,1,3,1
apimonitorapp,com.paysafe.apimonitor.ws.api,APIMonitorRestExceptionHandler,18,3,0,0,3,1,2,1,2,1
apimonitorapp,com.paysafe.apimonitor.ws.api,ServiceMonitorController,36,3,0,0,8,1,3,1,3,1
apimonitorapp,com.paysafe.apimonitor.ws.model,ServiceStatusVO,12,15,0,0,4,6,4,1,4,1
apimonitorapp,com.paysafe.apimonitor.ws.model,ApiErrorVO,47,0,0,0,19,0,7,0,7,0
apimonitorapp,com.paysafe.apimonitor.ws.model,SchedulerVO,0,31,0,0,0,8,0,4,0,4
apimonitorapp,com.paysafe.apimonitor.ws.model,StartRequestVO,0,17,0,0,0,7,0,5,0,5
apimonitorapp,com.paysafe.apimonitor.ws.model,ExecutionResponseVO,3,14,0,0,1,6,1,4,1,4
apimonitorapp,com.paysafe.apimonitor.ws.model,ServerResponse,0,10,0,0,0,4,0,3,0,3
apimonitorapp,com.paysafe.business,MonitoringBO,16,242,9,19,5,63,9,13,0,8
apimonitorapp,com.paysafe.business,MonitoringFactory,25,24,0,0,13,10,1,2,1,2
apimonitorapp,com.paysafe.business,SchedulerTask,15,99,2,2,6,31,2,5,0,5
apimonitorapp,com.paysafe.apimonitor.ws.dao,ApplicationMessages,0,129,0,0,0,12,0,4,0,4
apimonitorapp,com.paysafe.apimonitor.ws.dao,ServiceMonitorDAOImpl,7,45,0,2,2,12,1,5,1,4
apimonitorapp,com.paysafe.apimonitor.ws.dao,ServiceStatusDAOImpl,14,36,1,1,3,11,1,6,0,6
